"Version,""Task"",""Concept"",""Att 1 - Verpflegung"",""Att 2 - Kundenbewertung"",""Att 3 - Art des Hotels"",""Att 4 - Meerblick"",""Att 5 - Preis"",""Att 6 - Zimmerkategorie"""
4,12,2,3,3,2,2,2,3
4,12,3,3,3,1,1,1,3
4,12,4,1,2,2,2,2,2
4,12,5,1,2,1,1,1,2
4,13,1,2,2,3,1,2,3
4,13,2,3,1,1,2,3,2
4,13,3,3,2,2,1,3,1
4,13,4,1,1,3,2,1,3
4,13,5,1,3,2,3,1,1
4,14,1,1,2,3,2,3,3
4,14,2,3,2,3,1,3,2
4,14,3,3,1,2,1,1,1
4,14,4,2,3,1,3,2,2
4,14,5,2,3,1,3,2,3
4,15,1,2,3,1,2,1,2
4,15,2,1,1,1,2,2,1
4,15,3,2,3,2,3,1,2
4,15,4,1,1,2,3,2,1
4,15,5,3,2,3,1,3,3
4,16,1,1,2,1,3,1,3
4,16,2,3,3,3,2,2,1
4,16,3,1,3,2,1,3,3
4,16,4,2,2,3,2,1,1
4,16,5,3,1,1,3,2,2
4,17,1,2,1,2,1,3,2
4,17,2,1,3,3,2,2,3
4,17,3,1,2,1,1,2,1
4,17,4,2,1,2,2,3,2
4,17,5,3,2,1,3,1,1
4,18,1,2,1,3,1,1,2
4,18,2,3,3,2,3,3,3
4,18,3,2,1,2,3,3,3
4,18,4,3,3,3,1,1,2
4,18,5,1,2,1,2,2,1
4,19,1,3,1,1,2,3,3
4,19,2,3,2,2,3,2,2
4,19,3,2,2,2,1,2,1
4,19,4,2,3,3,2,3,1
4,19,5,1,1,1,1,1,3
4,20,1,2,2,1,1,3,3
4,20,2,3,3,1,1,3,1
4,20,3,1,2,3,3,1,2
4,20,4,3,1,2,2,2,1
4,20,5,1,3,3,3,1,2
4,21,1,2,3,2,2,1,3
4,21,2,3,2,1,3,3,1
4,21,3,1,3,2,2,1,2
4,21,4,2,1,3,3,2,3
4,21,5,1,1,3,1,2,2
5,1,1,3,3,1,1,2,2
5,1,2,3,1,3,3,1,3
5,1,3,2,2,2,3,1,1
