"Version","Task","Concept","Att 1 - Verpflegung","Att 2 - Kundenbewertung","Att 3 - Art des Hotels","Att 4 - Meerblick","Att 5 - Preis","Att 6 - Zimmerkategorie"
107,1,1,1,1,2,1,3,3
107,1,2,2,2,1,3,1,2
108,1,1,2,3,3,3,1,1
108,1,2,3,2,1,2,2,2
109,1,1,2,1,2,1,2,2
109,1,2,1,3,1,2,1,1
110,1,1,1,3,2,2,2,2
110,1,2,3,2,3,3,3,3
111,1,1,3,2,1,3,1,3
111,1,2,2,1,3,1,3,1
112,1,1,3,1,1,2,3,2
112,1,2,1,2,2,1,1,3
113,1,1,2,3,3,3,2,1
113,1,2,3,1,2,2,1,2
114,1,1,1,2,3,3,2,1
114,1,2,2,3,1,1,3,3
115,1,1,2,1,2,3,2,3
115,1,2,3,2,3,1,1,1
116,1,1,1,3,1,2,3,2
116,1,2,2,1,3,1,1,3
117,1,1,1,3,1,1,2,2
117,1,2,3,2,2,3,3,1
118,1,1,1,1,1,3,1,1
118,1,2,3,3,3,2,2,3
119,1,1,2,2,2,2,3,2
119,1,2,3,1,1,1,2,1
120,1,1,2,3,2,3,3,2
120,1,2,1,2,3,2,1,3
121,1,1,1,1,2,3,2,3
121,1,2,2,3,1,2,1,1
122,1,1,3,2,3,1,3,2
122,1,2,2,3,2,3,1,3
123,1,1,3,1,3,2,3,1
123,1,2,1,2,1,1,2,2
124,1,1,3,3,3,3,2,2
124,1,2,1,2,2,2,1,1
125,1,1,1,3,3,3,1,2
125,1,2,2,1,1,1,3,3
126,1,1,3,1,1,2,3,3
126,1,2,2,2,2,1,2,1
127,1,1,1,2,1,3,3,3
127,1,2,2,1,3,2,1,2
128,1,1,2,1,1,3,1,2
128,1,2,3,3,2,1,2,1
129,1,1,3,2,2,2,2,1
129,1,2,1,3,3,1,3,3
130,1,1,3,3,1,3,3,1
130,1,2,1,1,3,2,2,2
131,1,1,1,1,1,3,2,1
131,1,2,2,2,2,1,1,3
132,1,1,2,3,2,2,3,3
132,1,2,3,2,3,1,1,2
133,1,1,3,1,2,3,3,2
133,1,2,2,3,3,2,2,3
134,1,1,1,2,1,1,1,1
134,1,2,3,3,2,3,2,3
135,1,1,2,1,3,1,3,1
135,1,2,1,2,1,2,1,2
136,1,1,3,3,1,1,1,3
136,1,2,2,2,3,3,2,2
137,1,1,2,3,1,1,2,2
137,1,2,1,1,2,2,3,1
138,1,1,3,2,3,2,3,1
138,1,2,1,1,2,3,1,3
139,1,1,3,1,2,1,1,2
139,1,2,2,3,1,3,3,1
140,1,1,2,3,2,1,1,1
140,1,2,1,2,3,2,2,3
141,1,1,1,1,3,1,3,2
141,1,2,3,2,1,3,2,3
142,1,1,1,2,2,3,3,2
142,1,2,3,3,3,2,1,1
143,1,1,3,3,3,3,1,2
143,1,2,2,1,1,2,2,3
144,1,1,2,2,1,2,3,1
144,1,2,1,1,2,1,2,3
145,1,1,1,3,3,1,3,3
145,1,2,2,2,2,2,2,2
146,1,1,3,1,1,3,1,1
146,1,2,2,2,3,1,3,3
147,1,1,3,1,2,3,1,2
147,1,2,1,3,1,2,2,1
148,1,1,2,1,3,3,2,1
148,1,2,3,2,1,2,1,3
149,1,1,2,1,3,2,1,3
149,1,2,1,3,2,1,3,2
150,1,1,3,2,1,1,2,2
150,1,2,1,3,2,3,3,1
151,1,1,3,2,2,3,3,3
151,1,2,1,1,3,1,2,1
152,1,1,1,2,3,3,2,3
152,1,2,2,3,1,2,1,2
153,1,1,2,2,2,1,1,1
153,1,2,3,1,1,2,3,2
154,1,1,3,3,2,2,2,3
154,1,2,2,1,3,3,3,2
155,1,1,2,1,2,2,2,2
155,1,2,1,3,1,1,1,1
156,1,1,3,3,3,1,3,1
156,1,2,1,2,1,3,1,3
157,1,1,3,1,1,1,3,3
157,1,2,1,3,3,2,1,2
158,1,1,2,2,2,3,2,1
158,1,2,3,1,3,1,1,3
159,1,1,2,3,1,3,2,2
159,1,2,1,2,2,2,3,1
160,1,1,2,2,1,1,3,2
160,1,2,1,1,2,2,1,1
161,1,1,3,3,3,3,2,3
161,1,2,1,2,2,1,1,2
162,1,1,3,1,3,3,2,1
162,1,2,2,3,1,2,3,3
163,1,1,3,3,2,1,2,2
163,1,2,1,1,1,3,3,3
164,1,1,2,2,3,2,1,1
164,1,2,1,1,1,1,2,2
165,1,1,2,3,2,3,1,3
165,1,2,3,2,3,2,3,1
166,1,1,3,1,2,2,1,3
166,1,2,2,2,1,1,2,1
167,1,1,1,3,3,3,3,2
167,1,2,2,1,1,1,1,1
168,1,1,1,3,3,2,2,3
168,1,2,3,2,2,3,3,2
169,1,1,2,1,3,2,3,2
169,1,2,1,2,1,3,1,3
170,1,1,2,2,3,3,1,2
170,1,2,3,3,2,1,2,1
171,1,1,1,1,2,1,2,3
171,1,2,3,3,1,2,3,1
172,1,1,2,3,2,1,3,3
172,1,2,3,2,1,2,2,2
173,1,1,1,1,3,3,1,1
173,1,2,3,2,1,1,3,3
174,1,1,1,3,2,2,1,2
174,1,2,2,1,3,3,2,1
175,1,1,1,1,1,3,3,1
175,1,2,3,3,3,1,1,2
176,1,1,3,3,1,3,1,1
176,1,2,2,2,2,2,2,3
177,1,1,1,2,3,1,2,2
177,1,2,2,1,2,2,3,3
178,1,1,2,2,3,1,1,3
178,1,2,3,1,1,2,2,2
179,1,1,1,3,2,3,3,1
179,1,2,3,1,3,1,1,3
180,1,1,1,2,2,2,3,1
180,1,2,2,3,1,3,2,2
181,1,1,1,3,1,2,2,3
181,1,2,3,2,2,3,1,2
182,1,1,2,1,3,1,3,1
182,1,2,1,2,1,3,1,3
183,1,1,3,1,2,2,2,1
183,1,2,2,3,3,1,3,2
184,1,1,2,2,1,1,2,1
184,1,2,1,3,3,2,1,3
185,1,1,3,1,2,3,3,2
185,1,2,2,3,1,2,1,1
186,1,1,3,2,3,3,3,3
186,1,2,1,1,2,1,2,2
187,1,1,2,3,2,3,2,3
187,1,2,1,1,1,2,3,2
188,1,1,2,1,1,3,3,3
188,1,2,3,2,3,1,1,1
189,1,1,3,3,2,1,1,1
189,1,2,1,2,3,2,2,2
190,1,1,2,1,2,2,1,2
190,1,2,1,3,3,3,2,1
191,1,1,1,1,2,3,1,1
191,1,2,3,2,1,1,3,3
192,1,1,2,2,1,1,3,2
192,1,2,3,3,3,2,2,3
193,1,1,3,1,1,3,2,2
193,1,2,1,3,2,1,3,3
194,1,1,2,2,3,2,1,1
194,1,2,1,1,1,1,2,3
195,1,1,3,2,2,2,1,1
195,1,2,2,3,3,3,3,2
196,1,1,2,2,2,3,2,3
196,1,2,1,3,1,2,3,1
197,1,1,3,1,3,1,1,2
197,1,2,1,2,1,3,2,1
198,1,1,3,1,3,2,3,3
198,1,2,2,3,2,1,1,2
199,1,1,2,1,3,1,2,1
199,1,2,3,3,1,3,1,3
200,1,1,1,2,2,2,3,2
200,1,2,2,1,1,3,1,3
201,1,1,3,3,3,2,2,2
201,1,2,1,2,2,1,3,1
202,1,1,3,2,2,3,2,2
202,1,2,1,1,3,2,1,3
203,1,1,1,2,3,3,1,2
203,1,2,2,3,1,1,3,1
204,1,1,2,3,2,1,3,3
204,1,2,3,1,1,2,2,1
205,1,1,3,3,3,3,3,1
205,1,2,1,1,1,1,1,2
206,1,1,2,2,2,2,2,3
206,1,2,1,3,1,1,1,2
207,1,1,2,1,2,3,3,1
207,1,2,3,2,3,1,2,3
208,1,1,3,2,1,2,3,2
208,1,2,1,3,3,3,2,1
209,1,1,2,1,2,2,1,3
209,1,2,1,2,3,1,2,1
210,1,1,2,3,1,2,1,2
210,1,2,3,1,2,3,3,3
211,1,1,3,3,2,2,1,1
211,1,2,2,2,3,3,3,2
212,1,1,1,1,1,1,2,3
212,1,2,2,3,3,2,3,2
213,1,1,1,1,2,1,2,1
213,1,2,3,2,1,3,1,3
214,1,1,1,2,3,2,3,3
214,1,2,3,3,2,1,2,2
215,1,1,3,3,3,1,3,3
215,1,2,2,1,1,3,1,1
216,1,1,1,1,2,3,1,2
216,1,2,2,2,1,2,2,1
217,1,1,2,1,3,3,2,2
217,1,2,1,2,2,1,1,3
218,1,1,2,2,3,1,1,3
218,1,2,3,3,1,2,3,1
219,1,1,1,3,1,3,2,2
219,1,2,3,1,2,2,3,1
220,1,1,1,1,3,2,3,2
220,1,2,2,3,2,3,2,3
221,1,1,3,2,1,1,1,1
221,1,2,1,3,3,2,2,3
222,1,1,2,1,1,1,1,1
222,1,2,3,2,2,3,3,2
223,1,1,1,2,1,3,3,3
223,1,2,3,1,3,1,2,2
224,1,1,3,1,1,1,3,3
224,1,2,2,3,2,2,1,1
225,1,1,1,3,3,3,1,1
225,1,2,2,2,2,2,2,2
226,1,1,2,2,3,1,3,1
226,1,2,1,3,1,2,1,3
227,1,1,2,3,1,1,3,3
227,1,2,3,1,2,3,2,2
228,1,1,3,1,3,2,1,2
228,1,2,1,2,2,3,2,1
229,1,1,2,1,3,3,1,3
229,1,2,1,3,2,1,3,2
230,1,1,3,2,1,2,2,1
230,1,2,2,3,2,1,1,2
231,1,1,3,2,1,3,2,3
231,1,2,1,1,3,2,3,1
232,1,1,3,3,3,1,2,1
232,1,2,1,2,1,2,1,2
233,1,1,3,2,3,1,1,2
233,1,2,2,1,2,3,3,3
234,1,1,2,3,1,3,2,1
234,1,2,1,1,2,2,3,3
235,1,1,2,1,1,1,2,2
235,1,2,3,3,2,2,1,3
236,1,1,2,3,1,2,2,2
236,1,2,1,2,3,3,3,1
237,1,1,3,1,2,3,1,1
237,1,2,1,2,3,1,3,3
238,1,1,3,3,1,3,3,2
238,1,2,2,1,3,2,2,3
239,1,1,1,2,2,1,1,1
239,1,2,3,3,3,3,2,3
240,1,1,2,2,2,2,3,2
240,1,2,1,1,1,1,1,1
241,1,1,1,3,2,1,2,3
241,1,2,2,2,3,3,1,2
242,1,1,3,1,1,2,3,1
242,1,2,1,3,3,3,1,3
243,1,1,1,1,1,2,3,2
243,1,2,2,2,2,1,2,1
244,1,1,3,2,2,2,1,3
244,1,2,2,3,3,3,3,1
245,1,1,2,2,3,2,1,3
245,1,2,3,1,1,1,2,2
246,1,1,1,1,1,3,2,2
246,1,2,3,3,2,1,3,1
247,1,1,3,2,1,3,3,3
247,1,2,2,1,3,2,2,1
248,1,1,1,3,2,1,1,2
248,1,2,2,2,1,3,3,1
249,1,1,3,1,3,1,1,3
249,1,2,1,3,2,2,2,2
250,1,1,1,2,1,2,2,3
250,1,2,2,1,3,1,3,2
251,1,1,3,3,2,3,1,1
251,1,2,2,2,1,1,2,3
252,1,1,1,1,2,3,3,1
252,1,2,3,3,3,2,1,2
253,1,1,2,3,1,3,1,3
253,1,2,3,2,2,1,3,2
254,1,1,2,2,2,3,1,2
254,1,2,1,1,3,2,2,1
255,1,1,3,1,3,2,2,1
255,1,2,1,3,1,1,3,3
256,1,1,2,1,2,1,2,3
256,1,2,1,2,3,3,3,2
257,1,1,3,3,1,2,1,1
257,1,2,1,1,2,3,2,3
258,1,1,3,2,1,2,1,2
258,1,2,2,3,3,1,3,1
259,1,1,2,1,2,2,3,3
259,1,2,3,3,3,3,2,2
260,1,1,1,2,1,1,1,1
260,1,2,3,3,2,2,3,3
261,1,1,2,1,1,3,1,2
261,1,2,1,2,3,1,2,1
262,1,1,1,3,1,2,3,2
262,1,2,3,2,2,3,2,1
263,1,1,1,2,2,2,2,2
263,1,2,2,1,3,1,1,3
264,1,1,2,3,3,3,1,3
264,1,2,3,1,1,1,3,1
265,1,1,1,1,2,1,1,2
265,1,2,2,3,1,2,2,1
266,1,1,2,1,2,2,1,1
266,1,2,3,2,3,3,3,3
267,1,1,1,2,3,3,3,2
267,1,2,3,3,1,1,2,3
268,1,1,2,3,2,1,3,2
268,1,2,1,1,1,3,1,3
269,1,1,3,2,3,2,2,1
269,1,2,2,1,1,3,3,2
270,1,1,3,2,2,1,2,1
270,1,2,1,3,3,2,1,3
271,1,1,3,1,3,1,1,2
271,1,2,1,3,2,3,3,1
272,1,1,2,2,1,2,2,3
272,1,2,3,1,2,3,1,1
273,1,1,2,3,3,1,2,2
273,1,2,1,2,1,2,3,3
274,1,1,3,1,2,3,2,3
274,1,2,2,2,3,2,3,1
275,1,1,1,3,1,1,1,2
275,1,2,3,1,3,2,3,3
276,1,1,2,2,2,1,1,2
276,1,2,1,3,1,3,2,1
277,1,1,1,1,3,2,1,1
